"ID","LONGDISTANCE","INTERNATIONAL","LOCAL","DROPPED","PAYMETHOD","LOCALBILLTYPE","LONGDISTANCEBILLTYPE","USAGE","RATEPLAN","GENDER","STATUS","CHILDREN","ESTINCOME","CAROWNER","AGE","CHURN"
"158","11","0","15","0","CC","Budget","Standard","26","1","M","M","2","1406.05","Y","19.306667","F"
"160","22","0","28","0","Auto","Budget","Standard","50","4","F","S","0","73228.30","N","62.00","F"
"161","2","0","150","0","Auto","FreeLocal","Standard","152","2","F","S","2","76231.90","N","63.806667","F"
"166","13","1","36","0","CH","FreeLocal","Standard","51","3","M","M","1","64792.30","N","52.146667","T"
"169","29","0","8","0","CH","Budget","Intnl_discount","38","1","F","S","0","93322.10","Y","40.313333","T"
"174","0","3","10","0","CC","Budget","Intnl_discount","14","4","M","M","1","63437.30","N","63.653333","T"
"178","27","0","23","0","CC","Budget","Standard","51","3","M","M","2","49910.70","Y","51.52","F"
"180","11","0","25","0","CC","FreeLocal","Standard","37","4","M","M","0","76161.40","Y","44.573333","T"
"190","10","0","57","0","CC","FreeLocal","Standard","67","1","M","M","2","57360.80","Y","53.253333","F"
"191","29","0","10","0","CC","FreeLocal","Standard","40","4","M","M","0","92414.70","Y","45.513333","T"
"192","9","0","62","1","CH","FreeLocal","Standard","72","3","M","M","1","60102.70","N","42.14","T"
"194","29","0","332","0","CC","Budget","Standard","361","1","F","M","2","17888.70","N","55.00","F"
"195","11","0","28","0","CC","FreeLocal","Intnl_discount","40","2","F","S","1","12526.30","N","53.553333","T"
"198","11","0","95","0","Auto","Budget","Standard","107","1","F","S","2","14578.80","Y","60.933333","T"
"201","21","0","29","1","CC","FreeLocal","Standard","51","4","M","M","0","78572.20","Y","42.346667","T"
"205","27","5","16","0","CH","FreeLocal","Standard","49","4","F","M","0","28770.90","N","12.34","F"
"206","0","0","22","0","CC","Budget","Standard","22","1","F","M","2","87578.20","Y","53.366667","F"
"209","20","0","23","0","CC","Budget","Intnl_discount","43","4","F","S","2","76791.20","N","61.00","F"
"218","29","0","90","4","Auto","FreeLocal","Intnl_discount","119","3","F","M","0","83287.00","N","45.486667","F"
"219","24","6","27","0","Auto","Budget","Standard","58","2","M","S","0","2056.06","Y","18.94","T"
"221","15","0","70","0","CC","Budget","Intnl_discount","85","4","M","M","1","2067.82","N","47.853333","F"
"224","6","0","15","0","CC","FreeLocal","Standard","21","2","F","M","2","69343.30","N","42.166667","F"
"225","0","0","23","2","Auto","Budget","Standard","24","4","F","M","0","77000.00","N","55.00","F"
"229","2","0","9","0","CC","Budget","Intnl_discount","12","4","F","S","0","27498.10","N","42.00","F"
"231","26","0","103","0","CC","FreeLocal","Standard","129","1","F","M","2","21419.90","N","59.833333","F"
"232","5","8","63","0","Auto","FreeLocal","Standard","77","3","F","M","2","30665.20","Y","22.88","F"
"233","6","0","30","0","Auto","FreeLocal","Intnl_discount","37","2","F","M","1","66000.00","Y","63.353333","F"
"234","16","0","113","1","CH","Budget","Standard","129","2","F","M","2","50561.30","N","52.00","F"
"236","22","0","41","0","CC","Budget","Intnl_discount","64","3","F","S","2","23464.00","Y","70.00","T"
"237","28","0","38","0","CC","FreeLocal","Standard","67","4","F","M","2","194.57","N","42.00","F"
"238","17","0","8","0","CH","FreeLocal","Intnl_discount","26","4","F","M","1","98680.40","Y","55.00","F"
"239","13","0","144","0","CC","Budget","Standard","158","3","M","M","1","65619.70","Y","46.00","T"
"241","22","0","151","0","Auto","FreeLocal","Intnl_discount","174","2","F","S","0","85275.00","N","47.00","F"
"243","13","0","11","0","Auto","FreeLocal","Standard","25","3","F","M","1","98453.60","Y","46.00","F"
"244","25","0","10","0","CC","FreeLocal","Intnl_discount","35","3","F","M","2","94026.80","Y","27.746667","F"
"246","25","0","252","1","Auto","Budget","Standard","277","2","F","S","2","57420.00","Y","61.00","F"
"254","0","0","10","0","CC","FreeLocal","Standard","10","3","F","M","2","18296.40","Y","42.626667","F"
"257","22","0","63","0","Auto","FreeLocal","Standard","86","3","F","S","1","68000.00","N","60.00","F"
"261","20","0","37","0","Auto","Budget","Standard","57","3","F","S","2","86747.10","N","64.853333","F"
"263","21","0","139","0","Auto","Budget","Standard","160","3","F","M","1","87404.60","N","63.186667","F"
"264","6","4","153","0","CC","FreeLocal","Intnl_discount","164","2","M","S","2","20919.00","N","27.886667","F"
"265","19","2","14","1","Auto","Budget","Intnl_discount","35","4","F","M","2","85394.00","Y","20.16","F"
"266","2","0","36","1","CC","FreeLocal","Standard","38","3","F","S","0","2121.36","N","39.786667","T"
"267","7","0","65","0","CH","Budget","Intnl_discount","73","2","F","M","2","63566.10","Y","56.30","F"
"270","14","1","149","0","CC","FreeLocal","Intnl_discount","166","4","F","S","0","89813.60","N","12.846667","F"
"272","21","0","19","0","CC","FreeLocal","Intnl_discount","41","4","F","M","2","82644.20","Y","33.493333","F"
"281","29","0","116","3","CH","Budget","Standard","145","2","F","M","2","34577.70","N","63.253333","F"
"284","10","0","137","0","CC","FreeLocal","Standard","147","4","F","S","2","19008.40","Y","52.166667","T"
"285","23","0","126","0","Auto","FreeLocal","Standard","150","3","F","M","0","98056.30","N","55.966667","F"
"286","0","0","2","0","CH","Budget","Standard","2","4","M","M","0","73400.00","Y","64.226667","T"
"288","2","1","43","0","CH","Budget","Intnl_discount","46","2","M","M","0","78894.20","N","28.00","F"
"289","20","8","80","0","CH","Budget","Intnl_discount","109","1","M","S","1","16432.10","Y","20.92","T"
"291","14","3","45","0","CC","Budget","Standard","63","3","M","S","1","71329.90","Y","42.233333","T"
"295","22","7","65","0","CC","FreeLocal","Standard","95","4","F","S","0","20913.60","N","53.013333","T"
"302","27","5","48","0","CC","FreeLocal","Intnl_discount","81","2","M","M","2","67339.80","N","17.006667","F"
"304","22","7","64","0","CC","FreeLocal","Intnl_discount","94","3","M","M","1","75799.90","N","46.38","T"
"305","14","0","8","0","CC","Budget","Standard","22","4","F","S","2","15688.50","N","53.06","T"
"308","16","5","30","0","CC","FreeLocal","Intnl_discount","52","2","F","S","0","5185.31","N","62.053333","T"
"309","26","0","108","0","CC","Budget","Standard","134","4","F","S","0","41000.00","N","16.06","T"
"312","8","0","22","0","CC","FreeLocal","Standard","31","4","F","M","2","80087.70","N","41.92","F"
"313","21","0","256","0","CC","Budget","Standard","278","2","F","M","2","59691.30","N","38.04","F"
"315","28","0","113","0","CC","FreeLocal","Standard","141","2","F","S","2","11251.10","Y","61.00","T"
"317","7","4","43","0","CC","FreeLocal","Standard","55","4","M","M","0","70908.70","N","49.62","T"
"318","14","5","73","0","CH","FreeLocal","Standard","93","4","M","S","0","94928.30","N","40.18","T"
"320","20","2","90","0","Auto","FreeLocal","Standard","112","2","F","M","2","50622.30","N","40.46","F"
"326","29","0","62","0","CH","Budget","Standard","92","4","M","M","0","100020.00","Y","52.266667","T"
"329","17","6","51","0","CC","FreeLocal","Standard","74","2","F","M","1","56722.80","N","60.593333","F"
"331","0","0","3","0","CC","Budget","Intnl_discount","3","3","M","M","1","80000.00","N","53.213333","T"
"332","18","0","104","0","CC","Budget","Standard","123","4","F","S","2","3416.62","Y","22.76","T"
"333","0","0","10","0","Auto","Budget","Standard","10","2","F","M","0","73400.00","Y","55.633333","F"
"334","15","0","25","0","CC","FreeLocal","Standard","40","4","M","M","0","120000.00","Y","53.213333","T"
"335","29","0","59","0","CC","FreeLocal","Standard","88","2","F","M","2","8032.16","N","45.666667","F"
"336","18","0","25","0","Auto","FreeLocal","Standard","44","4","F","S","1","93454.30","Y","48.533333","F"
"338","0","7","208","0","Auto","Budget","Standard","215","4","F","S","0","83287.00","N","77.00","F"
"339","23","0","51","0","Auto","FreeLocal","Standard","74","3","F","S","0","92564.10","Y","49.133333","F"
"343","6","0","43","0","CC","FreeLocal","Standard","50","1","F","M","2","48322.50","Y","49.333333","F"
"346","6","0","46","0","CC","FreeLocal","Standard","53","1","F","M","2","81913.80","Y","49.66","F"
"349","27","0","93","0","CH","Budget","Standard","120","3","F","S","0","919.93","N","38.26","T"
"350","7","0","9","1","CC","Budget","Standard","17","1","F","M","2","69486.80","N","30.946667","F"
"351","0","0","2","0","CH","Budget","Intnl_discount","2","4","F","M","2","24482.80","N","33.533333","F"
"353","26","0","236","0","CC","Budget","Standard","263","4","F","M","0","14573.60","N","64.606667","F"
"356","20","0","84","0","CC","FreeLocal","Intnl_discount","104","3","F","S","0","17138.20","N","63.786667","T"
"358","2","0","164","0","CC","Budget","Intnl_discount","167","1","F","M","2","47010.10","N","57.406667","F"
"361","6","7","128","1","CC","FreeLocal","Standard","142","2","M","M","1","69406.70","Y","30.00","F"
"363","0","0","4","0","CC","Budget","Standard","4","4","F","M","2","83259.30","N","50.88","F"
"370","7","0","20","1","CH","Budget","Standard","28","1","F","M","2","2185.60","N","52.513333","F"
"372","21","3","17","0","CC","FreeLocal","Standard","42","2","M","M","1","76511.30","N","62.08","T"
"374","25","0","8","0","CH","FreeLocal","Standard","34","2","F","M","1","6946.07","N","23.00","T"
"375","0","0","112","0","CC","Budget","Standard","113","3","F","M","2","11234.70","Y","49.046667","F"
"383","27","0","51","0","Auto","FreeLocal","Standard","78","2","F","M","2","63670.80","Y","46.146667","F"
"384","29","5","35","0","CC","Budget","Standard","70","2","M","S","0","83287.00","N","45.486667","T"
"385","20","0","100","0","Auto","Budget","Standard","120","1","F","S","1","66000.00","Y","45.486667","F"
"388","19","0","118","0","Auto","FreeLocal","Standard","137","2","F","M","1","82931.30","N","64.64","F"
"389","17","0","27","0","CH","Budget","Standard","44","2","F","M","2","57483.90","N","44.026667","F"
"391","10","0","32","0","Auto","FreeLocal","Standard","43","2","F","S","2","21274.00","N","45.526667","T"
"392","21","0","192","0","CC","FreeLocal","Standard","214","2","F","M","2","28267.00","N","30.093333","F"
"394","8","9","77","0","CH","Budget","Standard","94","2","F","M","2","36725.10","N","55.793333","F"
"404","17","0","106","0","Auto","FreeLocal","Standard","123","3","F","S","1","12374.90","Y","33.493333","T"
"405","8","0","37","0","CH","FreeLocal","Standard","46","2","F","M","2","69133.90","Y","26.833333","F"
"407","11","0","12","0","CH","FreeLocal","Intnl_discount","23","3","F","M","2","84948.00","Y","29.446667","F"
"408","2","0","50","0","Auto","Budget","Standard","52","2","F","M","2","30998.80","N","40.96","F"
"414","9","9","8","0","CC","FreeLocal","Intnl_discount","27","1","M","M","2","21416.50","N","35.653333","F"
"418","5","7","23","0","Auto","Budget","Standard","35","3","M","M","2","78554.20","N","16.70","F"
"419","29","0","66","0","Auto","FreeLocal","Standard","96","2","M","S","1","3960.50","N","14.693333","T"
"422","0","0","0","0","Auto","Budget","Standard","0","2","F","M","2","38215.90","N","30.886667","F"
"423","28","0","160","0","CC","FreeLocal","Standard","176","1","F","M","1","13829.40","N","22.00","T"
"424","2","0","24","0","CH","Budget","Intnl_discount","27","3","F","M","2","49745.30","N","47.966667","F"
"426","22","4","43","0","CC","Budget","Standard","69","3","F","M","2","88427.00","N","13.86","F"
"428","3","8","5","0","CC","Budget","Intnl_discount","16","2","M","S","0","89142.70","N","33.00","F"
"429","20","0","106","0","Auto","FreeLocal","Intnl_discount","127","2","F","S","0","74530.80","N","63.086667","F"
"431","30","0","262","0","CC","Budget","Standard","265","3","F","S","0","35000.00","N","23.00","T"
"436","22","0","82","0","CC","Budget","Intnl_discount","104","2","F","M","2","76289.20","N","48.206667","F"
"438","11","0","5","0","CC","Budget","Standard","17","4","M","M","1","66931.90","N","63.933333","T"
"439","40","0","99","0","CC","FreeLocal","Standard","108","2","F","D","1","9309.57","Y","24.00","T"
"441","27","0","154","0","CC","Budget","Intnl_discount","168","2","F","S","0","32962.60","N","19.00","T"
"442","26","0","61","0","CC","Budget","Standard","65","2","F","S","0","40000.00","N","20.00","T"
"443","33","0","35","0","Auto","Budget","Standard","41","3","F","S","2","33330.00","N","21.00","T"
"444","33","0","9","0","Auto","Budget","Intnl_discount","23","1","F","S","1","32098.00","N","22.00","T"
"445","37","2","38","0","CC","FreeLocal","Standard","62","1","F","S","2","30090.00","N","24.00","T"
"450","13","0","96","0","CC","FreeLocal","Standard","110","4","F","M","2","90271.60","N","44.926667","F"
"455","21","0","6","0","CC","Budget","Standard","27","2","F","M","2","64816.60","Y","31.126667","F"
"456","29","0","13","0","CC","FreeLocal","Standard","42","1","F","M","2","98217.10","N","44.98","F"
"458","14","0","88","0","CH","Budget","Intnl_discount","102","1","F","S","1","2929.13","N","53.506667","T"
"461","11","0","5","0","CC","FreeLocal","Standard","18","1","M","M","0","96223.40","Y","64.76","T"
"463","14","6","214","0","CC","Budget","Standard","234","2","M","M","0","69168.40","Y","62.426667","T"
"464","3","0","100","0","CC","Budget","Intnl_discount","113","2","M","M","1","92148.50","Y","33.00","F"
"466","8","0","6","0","CC","FreeLocal","Intnl_discount","33","2","M","S","0","62705.90","Y","32.00","F"
"468","7","0","43","0","CC","FreeLocal","Standard","56","2","M","S","0","84479.20","N","30.00","F"
"469","28","0","17","0","CC","FreeLocal","Standard","45","2","F","M","2","64977.40","N","38.193333","F"
"470","12","0","89","0","CH","FreeLocal","Standard","102","1","F","M","0","77994.00","N","50.553333","T"
"472","12","0","18","0","CC","Budget","Standard","31","1","F","M","0","59008.40","Y","30.18","T"
"474","5","7","76","0","CH","FreeLocal","Intnl_discount","88","1","M","S","1","84978.10","N","21.64","T"
"475","21","0","85","0","CC","Budget","Intnl_discount","107","3","F","M","2","36647.90","N","49.986667","F"
"476","3","0","37","0","CH","Budget","Intnl_discount","40","1","F","S","0","64319.20","N","41.226667","T"
"477","20","0","9","0","Auto","Budget","Intnl_discount","29","3","F","S","1","73338.00","N","48.246667","F"
"479","18","0","8","0","CC","Budget","Standard","27","2","F","M","2","16962.20","N","45.36","F"
"481","20","4","117","0","CH","Budget","Intnl_discount","142","3","M","M","2","10708.30","N","26.026667","F"
"484","21","0","87","0","CC","Budget","Standard","109","2","F","M","0","2031.61","N","20.30","T"
"488","13","0","8","0","CH","FreeLocal","Standard","22","2","F","S","2","16938.50","N","55.00","F"
"497","29","0","9","0","CC","Budget","Intnl_discount","38","1","M","S","2","72084.70","N","55.64","F"
"499","23","0","10","0","Auto","Budget","Intnl_discount","34","2","F","S","1","49072.00","N","47.00","F"
"504","16","0","114","0","CH","Budget","Standard","130","3","M","M","1","71472.90","N","41.913333","T"
"505","7","0","6","0","CC","Budget","Standard","13","4","F","M","0","95405.70","N","42.00","F"
"506","21","0","87","0","CC","Budget","Standard","108","4","F","S","0","95786.80","Y","43.00","F"
"510","8","0","13","0","CH","Budget","Standard","21","2","F","M","2","56187.00","N","42.00","F"
"513","23","0","206","0","CC","Budget","Intnl_discount","229","2","F","S","1","37000.00","N","24.393333","T"
"518","29","0","45","0","CH","FreeLocal","Standard","75","1","M","M","2","29616.00","N","49.426667","F"
"520","24","0","22","0","CC","FreeLocal","Standard","47","2","M","M","0","19732.80","N","50.673333","F"
"523","26","0","32","1","CC","Budget","Standard","59","4","M","S","2","96.33","N","56.473333","F"
"526","5","0","23","0","CH","Budget","Intnl_discount","28","1","F","M","2","52004.80","N","25.14","F"
"529","12","0","46","4","CC","FreeLocal","Standard","58","1","M","M","2","53010.80","N","18.84","F"
"530","26","0","32","0","CC","Budget","Intnl_discount","58","2","M","M","0","75004.50","N","64.80","F"
"534","9","0","38","0","CC","Budget","Standard","48","3","M","S","1","57626.90","Y","43.906667","F"
"536","17","4","49","1","Auto","FreeLocal","Standard","72","4","F","M","2","47902.00","N","26.033333","F"
"547","0","0","28","0","CC","FreeLocal","Standard","29","4","F","S","0","78851.30","N","48.373333","T"
"548","22","0","13","0","Auto","Budget","Standard","36","1","F","S","1","17540.70","Y","62.786667","T"
"549","28","0","45","0","CH","Budget","Standard","74","4","F","M","0","83891.90","Y","61.02","T"
"550","26","0","12","0","CC","FreeLocal","Standard","38","4","F","M","2","28220.80","N","38.766667","T"
"552","13","0","87","0","CC","FreeLocal","Standard","100","4","F","S","0","28589.10","N","15.60","T"
"554","13","8","56","0","CC","Budget","Standard","78","1","F","M","2","5237.63","N","48.753333","F"
"560","14","0","25","0","CC","Budget","Standard","40","4","F","S","1","13576.50","N","39.426667","T"
"564","4","0","91","1","CC","Budget","Standard","96","3","F","M","2","67388.00","N","53.12","T"
"565","16","0","81","0","CH","Budget","Standard","98","4","F","M","1","57063.00","Y","52.333333","F"
"566","3","0","11","1","CC","Budget","Standard","15","1","F","M","2","84166.10","N","54.013333","T"
"572","11","0","50","0","CC","FreeLocal","Standard","61","2","F","S","1","7737.94","N","42.666667","T"
"573","21","0","293","0","CH","Budget","Standard","314","4","M","S","2","100020.00","N","48.00","T"
"574","0","0","2","0","CC","Budget","Standard","2","3","F","M","2","45287.60","Y","29.026667","F"
"575","12","0","163","0","CC","Budget","Intnl_discount","175","2","F","M","2","59613.10","N","34.32","T"
"577","0","0","1","0","CC","FreeLocal","Intnl_discount","1","2","F","S","1","16326.70","N","50.613333","T"
"580","18","0","59","0","CC","FreeLocal","Standard","77","3","F","S","2","9559.78","N","51.38","T"
"585","26","0","9","0","Auto","FreeLocal","Intnl_discount","35","3","F","M","2","83284.10","Y","28.42","F"
"587","23","0","50","0","Auto","FreeLocal","Standard","73","4","F","D","1","68427.40","N","42.393333","F"
"591","20","8","13","0","CC","FreeLocal","Standard","43","4","F","S","0","98716.30","N","55.66","T"
"593","14","8","10","0","CH","FreeLocal","Standard","33","4","F","S","2","84789.30","N","50.433333","T"
"596","16","0","56","0","CC","Budget","Intnl_discount","72","4","F","M","0","32703.10","Y","64.92","F"
"598","15","0","24","0","CH","FreeLocal","Standard","39","4","F","M","2","8204.72","N","52.973333","F"
"602","16","1","125","0","CC","FreeLocal","Intnl_discount","142","2","M","S","0","64136.60","Y","61.106667","T"
"604","24","0","73","0","CH","FreeLocal","Standard","97","3","F","M","2","45429.70","Y","61.713333","T"
"606","9","0","11","0","CC","FreeLocal","Standard","21","4","F","S","0","25285.50","N","53.986667","T"
"608","22","8","16","0","CC","FreeLocal","Standard","47","3","F","M","0","38538.40","N","12.326667","T"
"609","1","0","25","0","CC","FreeLocal","Standard","27","4","F","S","0","69350.50","Y","57.42","F"
"616","29","9","104","0","CC","Budget","Standard","143","4","M","S","2","43634.50","N","21.78","T"
"621","16","5","10","0","CC","Budget","Standard","32","4","M","S","1","92647.50","N","56.046667","T"
"622","3","0","11","0","CC","Budget","Standard","14","2","M","S","2","21021.60","Y","62.753333","F"
"626","27","0","58","0","Auto","Budget","Standard","86","3","F","S","2","28787.40","N","41.666667","T"
"633","27","0","57","0","CC","Budget","Standard","85","4","F","M","1","20550.90","Y","22.12","T"
"639","22","0","34","0","Auto","Budget","Standard","57","1","F","S","2","19131.10","N","56.186667","T"
"645","20","1","112","0","Auto","Budget","Intnl_discount","134","2","M","M","2","42750.30","Y","50.493333","F"
"647","0","0","0","0","Auto","Budget","Intnl_discount","0","4","F","S","2","2842.55","N","45.92","T"
"648","15","1","12","0","CC","Budget","Standard","29","3","M","M","2","22358.10","N","52.626667","F"
"651","22","0","27","0","CH","Budget","Standard","49","2","F","S","2","6440.46","Y","41.00","F"
"652","28","0","161","0","CC","FreeLocal","Intnl_discount","190","2","F","S","0","7325.50","N","36.92","T"
"654","6","0","58","0","CC","Budget","Standard","64","4","M","M","2","28766.90","N","46.84","F"
"656","2","0","17","1","Auto","Budget","Standard","19","2","M","M","1","5252.29","N","16.333333","F"
"666","11","9","115","1","CC","FreeLocal","Intnl_discount","137","4","M","S","0","69000.00","Y","52.266667","T"
"670","11","0","15","0","CC","Budget","Standard","26","3","M","M","2","1406.05","Y","19.306667","F"
"672","22","0","28","0","Auto","Budget","Standard","50","2","F","S","0","73228.30","N","43.00","F"
"690","27","0","23","0","CC","Budget","Standard","51","1","M","M","2","49910.70","Y","51.52","F"
"694","23","0","80","0","Auto","Budget","Standard","103","1","F","S","1","12686.00","N","64.80","T"
"702","10","0","57","0","CC","FreeLocal","Standard","67","2","M","M","2","57360.80","Y","53.253333","F"
"704","9","0","62","1","CH","FreeLocal","Standard","72","4","M","M","1","60102.70","N","42.14","T"
"707","11","0","28","0","CC","FreeLocal","Intnl_discount","40","1","F","S","1","12526.30","N","53.553333","T"
"714","9","0","47","0","CC","Budget","Intnl_discount","57","2","M","M","1","3933.74","N","17.86","F"
"715","23","0","168","0","CC","FreeLocal","Standard","191","1","F","M","2","48238.80","N","34.706667","F"
"717","27","5","16","0","CH","FreeLocal","Standard","49","3","F","M","0","28770.90","N","12.34","T"
"721","20","0","23","0","CC","Budget","Intnl_discount","43","1","F","S","2","76791.20","N","47.00","F"
"725","21","0","35","0","CC","Budget","Standard","57","4","F","S","0","30763.80","Y","14.193333","T"
"726","4","0","114","1","CH","Budget","Standard","118","3","F","M","2","3193.60","N","54.046667","F"
"730","29","0","90","4","Auto","FreeLocal","Intnl_discount","119","4","F","M","0","83287.00","N","56.193333","F"
"731","24","6","27","0","Auto","Budget","Standard","58","4","M","S","1","2056.06","Y","18.94","T"
"734","4","7","8","0","CC","Budget","Standard","20","3","M","S","0","77000.00","N","63.353333","T"
"737","0","0","23","2","Auto","Budget","Standard","24","2","F","M","0","83287.00","N","44.00","F"
"740","4","0","6","0","CC","Budget","Intnl_discount","11","2","F","M","0","14932.50","N","46.00","F"
"741","2","0","9","0","CC","Budget","Intnl_discount","12","4","F","S","0","27498.10","N","52.646667","F"
"746","16","0","113","1","CH","Budget","Standard","129","2","F","M","2","50561.30","N","46.00","F"
"748","22","0","41","0","CC","Budget","Intnl_discount","64","3","F","S","2","23464.00","Y","61.00","T"
"750","17","0","8","0","CH","FreeLocal","Intnl_discount","26","4","F","M","1","98680.40","Y","46.00","F"
"751","13","0","144","0","CC","Budget","Standard","158","2","M","M","0","65619.70","Y","52.646667","T"
"752","10","0","93","0","CC","Budget","Standard","104","4","F","M","1","95620.30","Y","47.00","F"
"754","15","0","8","0","CC","FreeLocal","Intnl_discount","24","1","F","M","1","66921.40","Y","46.00","F"
"756","25","0","10","0","CC","FreeLocal","Intnl_discount","35","2","F","M","2","94026.80","Y","27.746667","F"
"759","3","3","26","1","CC","FreeLocal","Standard","34","1","M","M","0","66666.00","N","45.486667","T"
"766","0","0","10","0","CC","FreeLocal","Standard","10","4","F","M","2","18296.40","Y","42.626667","F"
"767","22","0","103","1","CC","FreeLocal","Standard","126","1","F","S","0","39461.00","N","22.226667","T"
"773","20","0","37","0","Auto","Budget","Standard","57","4","F","S","2","86747.10","N","64.853333","F"
"775","21","0","139","0","Auto","Budget","Standard","160","2","F","M","1","87404.60","N","63.186667","F"
"777","19","2","14","1","Auto","Budget","Intnl_discount","35","2","F","M","2","85394.00","Y","20.16","F"
"779","7","0","65","0","CH","Budget","Intnl_discount","73","4","F","M","2","63566.10","Y","56.30","F"
